Course,Lesson Name,Visual Type,data-type
Unsupervised Learning,t-SNE,Chart,unsup-tsne-visualization
Unsupervised Learning,What Is Unsupervised Learning?,Chart,unsup-what-is-visualization
Feature Engineering,Feature Engineering for Aggregated/Grouped Data,Interactive visualization,fe-aggregate-visualization
Feature Engineering,Binning and Discretization,Chart,fe-binning-visualization
Feature Engineering,Correlation and Multicollinearity,Interactive visualization,fe-correlation-visualization
Feature Engineering,Creating Features from Dates and Times,Interactive visualization,fe-datetime-visualization
Feature Engineering,Encoding Categorical Variables,Interactive visualization,fe-encoding-visualization
Feature Engineering,A Complete Feature Engineering Project,Interactive visualization,fe-end-to-end-visualization
Feature Engineering,Interaction Features,Interactive visualization,fe-interaction-visualization
Feature Engineering,Target Leakage,Interactive visualization,fe-leakage-visualization
Feature Engineering,Handling Missing Data: Imputation Strategies,Interactive visualization,fe-missing-visualization
Feature Engineering,Building Production-Ready Feature Pipelines,Diagram,fe-pipeline-visualization
Feature Engineering,Polynomial Features,Interactive visualization,fe-polynomial-visualization
Feature Engineering,Feature Scaling Revisited,Interactive visualization,fe-scaling-visualization
Feature Engineering,Feature Selection,Interactive visualization,fe-selection-visualization
Feature Engineering,Text Feature Extraction,Interactive visualization,fe-text-visualization
Feature Engineering,What Is Feature Engineering?,Interactive visualization,fe-what-is-visualization
Neural Networks,Activation Functions,Interactive visualization,nn-activation-visualization
Neural Networks,Backpropagation,Chart,nn-backprop-visualization
Neural Networks,Batch Normalization and Training Stability,Chart,nn-batch-norm-visualization
Neural Networks,Debugging Neural Networks,Interactive visualization,nn-debugging-visualization
Neural Networks,A Complete Neural Network Project with PyTorch,Interactive visualization,nn-end-to-end-visualization
Neural Networks,Forward Propagation,Interactive visualization,nn-forward-prop-visualization
Neural Networks,Gradient Descent Variants,Interactive visualization,nn-gd-variants-visualization
Neural Networks,Loss Functions for Neural Networks,Interactive visualization,nn-loss-visualization
Neural Networks,Building Neural Networks with PyTorch's nn.Module,Interactive visualization,nn-nn-module-visualization
Neural Networks,Overfitting in Neural Networks,Chart,nn-overfit-visualization
Neural Networks,Introduction to PyTorch,Chart,nn-pytorch-intro-visualization
Neural Networks,Building a Neural Network from Scratch with NumPy,Interactive visualization,nn-scratch-visualization
Neural Networks,"Training Loops, Hyperparameters, and Learning Rate Schedules",Interactive visualization,nn-training-loops-visualization
Neural Networks,Weight Initialization,Chart,nn-weight-init-visualization
Neural Networks,What Is a Neural Network?,Chart,nn-what-is-visualization
PyTorch,Model Checkpointing,Chart,pt-checkpoint-visualization
PyTorch,Building Custom Datasets,Chart,pt-custom-dataset-visualization
PyTorch,Custom Loss Functions and Custom Layers,Interactive visualization,pt-custom-layers-visualization
PyTorch,Dataset and DataLoader,Chart,pt-dataloader-visualization
PyTorch,Embedding Layers,Interactive visualization,pt-embeddings-visualization
PyTorch,A Complete Image Classification Project with Transfer Learning,Interactive visualization,pt-end-to-end-visualization
PyTorch,Experiment Tracking and Reproducibility,Interactive visualization,pt-experiment-visualization
PyTorch,Freezing and Fine-Tuning Layers,Interactive visualization,pt-finetune-visualization
PyTorch,GPU Acceleration,Interactive visualization,pt-gpu-visualization
PyTorch,Working with Image Data as Tensors,Chart,pt-image-tensors-visualization
PyTorch,Mixed Precision Training and Performance Profiling,Interactive visualization,pt-mixed-precision-visualization
PyTorch,Common PyTorch Pitfalls,Interactive visualization,pt-pitfalls-visualization
PyTorch,Tensor Operations Deep Dive,Interactive visualization,pt-tensor-ops-visualization
PyTorch,Transfer Learning,Interactive visualization,pt-transfer-visualization
PyTorch,Data Transforms and Augmentation,Chart,pt-transforms-visualization
CNNs & Vision,Classic CNN Architectures,Diagram,cnn-architectures-visualization
CNNs & Vision,Data Augmentation for Vision,Chart,cnn-augment-visualization
CNNs & Vision,Choosing and Adapting Architectures,Interactive visualization,cnn-choose-arch-visualization
CNNs & Vision,Convolutional Layers,Chart,cnn-conv-layers-visualization
CNNs & Vision,Common CNN Pitfalls and Debugging Vision Models,Interactive visualization,cnn-debugging-visualization
CNNs & Vision,Object Detection and Segmentation,Chart,cnn-detection-visualization
CNNs & Vision,A Complete Computer Vision Project,Interactive visualization,cnn-end-to-end-visualization
CNNs & Vision,"Exporting and Optimizing Models for Deployment (ONNX, Quantization)",Interactive visualization,cnn-export-visualization
CNNs & Vision,Handling Imbalanced Image Datasets,Interactive visualization,cnn-imbalanced-visualization
CNNs & Vision,Model Interpretability,Chart,cnn-interpret-visualization
CNNs & Vision,Pooling Layers,Chart,cnn-pooling-visualization
CNNs & Vision,Building a CNN from Scratch with PyTorch,Interactive visualization,cnn-scratch-visualization
CNNs & Vision,Visualizing What CNNs Learn,Interactive visualization,cnn-visualizing-visualization
CNNs & Vision,Vision Transformers,Chart,cnn-vit-visualization
CNNs & Vision,Why Convolutions?,Chart,cnn-why-conv-visualization
Transformers & LLMs,The Transformer Architecture,Interactive visualization,tr-arch-visualization
Transformers & LLMs,The Attention Mechanism,Chart,tr-attention-visualization
Transformers & LLMs,Building an End-to-End LLM Application,Interactive visualization,tr-end-to-end-visualization
Transformers & LLMs,Evaluating and Debugging LLM Outputs,Interactive visualization,tr-eval-visualization
Transformers & LLMs,Fine-Tuning Pretrained Language Models,Interactive visualization,tr-finetune-visualization
Transformers & LLMs,Parameter-Efficient Fine-Tuning: LoRA and Adapters,Chart,tr-lora-visualization
Transformers & LLMs,Self-Attention and Multi-Head Attention,Chart,tr-multi-head-visualization
Transformers & LLMs,Positional Encoding,Chart,tr-pos-encoding-visualization
Transformers & LLMs,Pretraining Objectives: Masked LM vs. Causal LM,Chart,tr-pretraining-visualization
Transformers & LLMs,Prompting and In-Context Learning,Interactive visualization,tr-prompting-visualization
Transformers & LLMs,Retrieval-Augmented Generation (RAG),Interactive visualization,tr-rag-visualization
Transformers & LLMs,Recurrent Neural Networks,Chart,tr-rnn-visualization
Transformers & LLMs,Building a Mini Transformer from Scratch with PyTorch,Interactive visualization,tr-scratch-visualization
Transformers & LLMs,From Images to Sequences,Chart,tr-seq-visualization
Transformers & LLMs,Tokenization Deep Dive,Interactive visualization,tr-tokenization-visualization
Deployment & MLOps,From Notebook to API,Interactive visualization,mlops-api-visualization
Deployment & MLOps,CI/CD Pipelines for Machine Learning,Interactive visualization,mlops-cicd-visualization
Deployment & MLOps,Cloud ML Platforms Overview,Interactive visualization,mlops-cloud-visualization
Deployment & MLOps,Containerizing Models with Docker,Interactive visualization,mlops-docker-visualization
Deployment & MLOps,Data and Model Versioning (DVC-style Workflows),Chart,mlops-dvc-visualization
Deployment & MLOps,Deploying an End-to-End AI Application,Chart,mlops-end-to-end-visualization
Deployment & MLOps,Experiment Tracking and Reproducibility at Scale,Interactive visualization,mlops-experiment-visualization
Deployment & MLOps,"Batching, Latency, and Throughput Tradeoffs",Chart,mlops-latency-visualization
Deployment & MLOps,Managed LLM APIs,Interactive visualization,mlops-managed-apis-visualization
Deployment & MLOps,Monitoring Models in Production: Drift and Degradation,Chart,mlops-monitor-visualization
Deployment & MLOps,Automated Retraining Pipelines,Chart,mlops-retrain-visualization
Deployment & MLOps,Serving LLMs,Interactive visualization,mlops-serve-llm-visualization
Deployment & MLOps,Serverless and Autoscaling Inference,Chart,mlops-serverless-visualization
Deployment & MLOps,Managed Vector Databases for RAG at Scale,Chart,mlops-vector-db-visualization
Deployment & MLOps,"Model Versioning, A/B Testing, and Canary Deployments",Chart,mlops-versioning-visualization
AI & LLM Basics,What LLMs Can/Can't Do,Interactive visualization,llm-capabilities-visualization
AI & LLM Basics,Choosing the Right Model for Your Task,Diagram,llm-choosing-model-visualization
AI & LLM Basics,Major AI Models,Interactive visualization,llm-claude-gemini-visualization
AI & LLM Basics,Context Windows & Tokens,Interactive visualization,llm-context-windows-visualization
AI & LLM Basics,Why AI Hallucinates,Interactive visualization,llm-hallucinations-bias-visualization
AI & LLM Basics,Open Source vs Proprietary Models,Interactive visualization,llm-open-source-visualization
AI & LLM Basics,Building Responsible AI Features,Table,llm-responsible-ai-visualization
AI & LLM Basics,Training vs Inference,Interactive visualization,llm-training-inference-visualization
AI & LLM Basics,What Is a Prompt Really?,Illustration,llm-what-is-prompt-visualization
AI & LLM Basics,How LLMs Work,Interactive visualization,llm-what-is-visualization
Core Prompting Techniques,Chain-of-Thought Prompting,Diagram,cpt-chain-of-thought-visualization
Core Prompting Techniques,Crafting Effective Examples,Interactive visualization,cpt-examples-visualization
Core Prompting Techniques,Few-Shot Prompting,Interactive visualization,cpt-few-shot-visualization
Core Prompting Techniques,Prompt Injection & Jailbreaks,Interactive visualization,cpt-injection-visualization
Core Prompting Techniques,Multimodal Prompting,Interactive visualization,cpt-multimodal-visualization
Core Prompting Techniques,Role & Persona Prompting,Interactive visualization,cpt-role-persona-visualization
Core Prompting Techniques,Self-Consistency,Interactive visualization,cpt-self-consistency-visualization
Core Prompting Techniques,Step-by-Step Reasoning Prompts,Diagram,cpt-step-by-step-visualization
Core Prompting Techniques,System vs User Prompts,Interactive visualization,cpt-system-user-visualization
Core Prompting Techniques,Prompt Templates & Formatting,Interactive visualization,cpt-templates-visualization
Core Prompting Techniques,Zero-Shot Prompting,Chart,cpt-zero-shot-visualization
Advanced Techniques,What Are AI Agents?,Interactive visualization,rag-agents-visualization
Advanced Techniques,Preparing Datasets,Interactive visualization,rag-dataset-prep-visualization
Advanced Techniques,Vector Databases & Embeddings,Chart,rag-embeddings-visualization
Advanced Techniques,Embeddings Beyond RAG,Interactive visualization,rag-eval-fine-tuned-visualization
Advanced Techniques,Fine-Tuning Basics,Interactive visualization,rag-fine-tune-basics-visualization
Advanced Techniques,Fine-Tune vs Prompt Engineer,Interactive visualization,rag-fine-tune-vs-prompt-visualization
Advanced Techniques,Function Calling & Tool Integration,Interactive visualization,rag-function-calling-visualization
Advanced Techniques,What Is RAG,Interactive visualization,rag-intro-visualization
Advanced Techniques,Multi-Step Agent Workflows,Diagram,rag-multi-step-planning-visualization
Advanced Techniques,Building a Simple RAG Pipeline,Interactive visualization,rag-retrieval-visualization
Building AI Apps,Content Moderation & Output Safety,Interactive visualization,bai-content-safety-visualization
Building AI Apps,Managing Costs & Rate Limits,Interactive visualization,bai-cost-rate-limits-visualization
Building AI Apps,Debugging Bad AI Outputs,Interactive visualization,bai-debugging-ai-visualization
Building AI Apps,Deploying Your First AI App,Interactive visualization,bai-deploy-ai-visualization
Building AI Apps,Handling Errors & Responses,Interactive visualization,bai-error-responses-visualization
Building AI Apps,Choosing Between Frameworks,Interactive visualization,bai-framework-choice-visualization
Building AI Apps,Intro to LangChain,Diagram,bai-langchain-visualization
Building AI Apps,Tracing & Debugging with LangSmith,Interactive visualization,bai-langsmith-visualization
Building AI Apps,Intro to LlamaIndex,Interactive visualization,bai-llamaindex-visualization
Building AI Apps,"Logging, Monitoring & Alerting",Interactive visualization,bai-monitoring-visualization
Building AI Apps,Prompt Caching,Interactive visualization,bai-prompt-caching-visualization
Building AI Apps,Prompt Evaluation,Interactive visualization,bai-prompt-eval-visualization
Building AI Apps,Model Routing & Fallbacks,Interactive visualization,bai-routing-visualization
Building AI Apps,Streaming Responses,Interactive visualization,bai-streaming-visualization
Building AI Apps,Structured Outputs & JSON Mode,Interactive visualization,bai-structured-output-visualization
Building AI Apps,Testing AI Outputs,Interactive visualization,bai-testing-ai-visualization
Building AI Apps,Using AI APIs,Interactive visualization,bai-using-apis-visualization
